full_name,birth_year,death_year,party_entrance_year,party_entrance_month,ethnicity
Григорьев Алексей Дмитриевич,1904,1950,1920,9,Русский
Григорян Хорен Иванович,1902,1956,1925,10,Армянин
Гриценко Алексей Варфоломеевич,1905,1983,1931,8,Украинец
Гришаев Павел Иванович,1918,1993,1941,3,Родился в семье крестьянина-середняка Русский. В КП с 03.411.
Гришакин Александр Дмитриевич,1903,1963,1928,5,Русский
Гришунов Михаил Иванович,1909,1996,1937,12,Русский
Груздов Александр Федорович,1911,1961,1937,3,Русский
Гручков Аким Степанович,1908,1987,1931,7,Русский
Гугучия Александр Илларионович,1905,1981,1937,2,Грузин
Гуджабидзе Илья Николаевич,1903,1957,1929,12,Грузин
Гудков Иван Сергеевич,1908,1999,1931,9,Русский
Гузовский Александр Александрович,1904,1986,1922,8,Украинец
Гукасов Александр Сергеевич,1905,1954,1927,8,Армянин
Гульст Вениамин Наумович,1900,1972,1921,4,Еврей
Гуро Владимир Кириллович,1905,1964,1923,4,Украинец
Гусев Николай Павлович,1917,1989,1940,3,Русский
Гуськов Анатолий Михайлович,1914,2005,1942,2,Русский
Гущин Филипп Петрович,1901,1986,1928,1,Русский
Давидовский Иосиф Ильич,1898,1952,1930,1,Еврей
Давлианидзе Сергей Семенович,1904,1967,1931,3,Грузин
Давыдов Александр Михайлович,1899,1980,1918,4,Русский
Давыдов Семен Прохорович,1909,1959,1938,2,Русский
Давыдов Федор Андреевич,1902,1980,1926,2,Русский
Данилюк Степан Антонович,1909,1961,1932,2,Украинец
Двинянинов Василий Андреевич,1900,1966,1918,9,Русский
Дегтярев Николай Петрович,1912,NA,1940,4,Русский
Деев Михаил Алексеевич,1914,NA,1939,10,Русский
Демидов Михаил Петрович,1908,NA,1937,10,Русский
Демин Владимир Алексеевич,1899,1941,1928,3,агента по погрузке угля Голубовского рудника
Демин Владимир Иванович,1906,1988,1927,11,Русский
Дерябин Михаил Емельянович,1898,NA,1924,11,Русский
Дерягин Михаил Алексеевич,1903,1971,1927,4,Русский
Дечко Михаил Федорович,1912,1987,1939,3,Белорус
Дешин Николай Иванович,1916,1977,1939,7,Русский
Джакушев Габдулла,1908,1986,1932,6,Казах
Джалилов Таджитдин Азимович,1918,NA,1944,3,Узбек
Джамгаров Михаил Бахшиевич,1899,1956,1925,3,Армянин
Джандильдинов Мурзамсеит,1914,1981,1939,2,Казах
Джураев Ибрагим Джураевич,1908,1973,1937,12,Таджик
Дмитриенко Василий Иванович,1912,NA,1938,1,Русский
Дмитров Семен Васильевич,1909,1977,1930,10,Русский
Дмитрюков Михаил Михайлович,1904,1967,1926,6,Русский
Днепровский Яков Андреевич,1905,1977,1927,12,Украинец
Доброхотов Василий Павлович,1911,1971,1932,6,Русский
Добрынин Георгий Прокопьевич,1907,1977,1930,3,Русский
Доквадзе Федор Ермолаевич,1902,NA,1927,9,Грузин
Долгинцев Иван Александрович,1903,1977,1920,5,Русский
Долгих Иван Ильич,1904,1961,1931,11,Русский
Домарев Александр Дмитриевич,1903,1967,1928,1,Русский
Досымбеков Абдыкен,1919,1976,1941,12,Казах
Дошлов Иван Иванович,1901,1979,1938,4,Русский
Дроздецкий Павел Гаврилович,1903,1979,1926,5,Русский
Дроздов Александр Николаевич,1901,1954,1920,1,Русский
Дроздов Виктор Александрович,1902,1966,1927,12,Украинец
Дроздов Михаил Прохорович,1909,1985,1939,4,Русский
Дрягин Дмитрий Константинович,1914,1942,1940,9,служащего
Дубиковский Виктор Кузьмич,1908,1987,1932,4,Украинец
Дубинин Леонид Николаевич,1915,NA,1943,11,Украинец
Дубовик Митрофан Тимофеевич,1905,1951,1927,4,Украинец
Дубровин Борис Всеволодович,1904,1951,1926,6,Русский
Дудоров Порфирий Иванович,1909,NA,1928,11,Русский
Дудукин Павел Алексеевич,1895,1974,1926,10,Русский
Дятлов Иван Федорович,1914,1994,1940,6,Белорус
Дятлов Николай Алексеевич,1901,1978,1925,2,Русский
Евдокименко Георгий Степанович,1914,1996,1940,5,Русский
Евсеев Константин Михайлович,1911,1984,1931,8,Русский
Евсенин Федор Яковлевич,1914,NA,1940,11,Русский
Евстафеев Серафим Васильевич,1904,1976,1928,9,Русский
Евсюков Петр Васильевич,1906,1982,1930,7,Русский
Егнаров Владимир Степанович,1903,1976,1939,8,Русский
Егнаташвили Александр Яковлевич,1887,1948,1912,9,Грузин
Егоров Валентин Кронидович,1908,1987,1928,10,(отец умер в 1915)
Егоров Михаил Иванович,1911,1968,1930,7,Русский
Егоров Сергей Егорович,1905,1959,1924,9,Русский
Едунов Яков Афанасьевич,1896,1985,1922,12,Русский
Елизарьев Александр Васильевич,1903,1964,1937,10,Русский
Елинский Евгений Петрович,1910,1944,1930,10,Украинец
Елисеев Михаил Матвеевич,1910,2003,1930,1,Воспитывался до 1919 у дочери мачехи
Елисеев Павел Николаевич,1915,NA,1939,6,Русский
Емельянов Яков Григорьевич,1910,1968,1929,7,Русский
Ендаков Николай Михайлович,1909,1989,1932,8,Русский
Епишев Алексей Алексеевич,1908,1985,1929,11,Русский
Ермилов Никанор Иванович,1904,1972,1927,12,Русский
Ермолаев Николай Дмитриевич,1905,1958,1932,9,Русский
Ермолаев Федор Ермолаевич,1904,NA,1928,1,Русский
Ермолаев Яков Филиппович,1903,1989,1928,1,Белорус
Ермолин Иван Ильич,1911,1957,1939,5,Русский
Ермолов Николай Григорьевич,1912,1992,1940,12,Русский
Есипенко Даниил Иванович,1901,1984,1929,2,Украинец
Ефименко Михаил Сергеевич,1907,1962,1927,9,Русский
Ефимов Дмитрий Ардалионович,1904,1987,1930,4,Русский
Ефимов Сергей Александрович,1899,1975,1938,5,Русский
Ечкалов Анатолий Митрофанович,1904,1986,1927,10,Русский
Жадобин Иван Иванович,1905,1979,1925,4,Русский
Жванко Максим Маркович,1906,NA,1930,6,Украинец
Жгенти Ясон Амбросиевич,1902,NA,1932,7,Грузин
Железников Николай Иванович,1906,1974,1928,8,Русский
Железников Сергей Андреевич,1897,1966,1928,3,Русский
Железов Фома Фомич,1909,1986,1930,1,ссыльная (после 1917 отец – директор треста)
Желтов Константин Николаевич,1922,1977,1942,11,складом
Желтухин Николай Александрович,1907,1964,1928,8,Русский
Жембровский Николай Константинович,1907,1944,1942,12,Русский
Жидков Арсений Андреевич,1901,1980,1932,1,Русский
Жовнер Михаил Александрович,1900,1960,1930,8,Украинец
Жуков Александр Алексеевич,1900,1944,1926,3,Русский
Жуков Георгий Сергеевич,1907,1978,1928,7,Русский
Журавлев Константин Иванович,1898,1972,1919,12,машиниста
Журавлев Павел Матвеевич,1898,1956,1919,5,Русский
Жутяев Георгий Никитович,1912,1986,1940,6,Русский
Забабуров Владимир Иванович,1913,1989,1944,8,Русский
Забелев Измаил Ибрагимович,1899,NA,1924,11,Татарин
Заболотный Григорий Иванович,1916,1994,1939,3,Украинец
Завгородний Георгий Степанович,1903,1976,1926,9,Русский
Завенягин Аврамий Павлович,1901,1956,1917,11,Русский
Завьялов Алексей Николаевич,1907,1984,1928,9,Русский
Зайцев Иннокентий Степанович,1906,1966,1929,4,Русский
Зайцев Николай Сергеевич,1898,1961,1919,1,Русский
Зайцев Петр Владимирович,1914,1995,1942,11,Русский
Закусило Александр Алексеевич,1906,NA,1926,11,Украинец
Залогин Семен Семенович,1898,1980,1919,11,Русский
Занин Семен Федосеевич,1901,NA,1924,6,Русский
Занин Степан Захарович,1914,1986,1940,6,Русский
Запевалин Михаил Александрович,1905,1972,1929,1,Русский
Заплеталов Николай Михайлович,1906,NA,1926,11,Русский
Зарелуа Владимир Еквтимович,1903,1979,1930,2,Грузин
Зарубин Василий Михайлович,1894,1972,1918,4,Русский
Зарубин Михаил Семенович,1902,1975,1931,1,Русский
Зателепин Василий Петрович,1902,1962,1930,1,Русский
Захаров Александр Павлович,1905,1969,1926,6,Русский
Захаров Василий Михайлович,1909,NA,1931,3,Русский
Захаров Иван Иванович,1903,1969,1926,11,Русский
Захаров Петр Андреевич,1905,1974,1929,6,Русский
Збраилов Леонид Максимович,1912,1977,1939,9,Русский
Зверев Александр Дмитриевич,1911,1986,1938,3,Русский
Зверев Михаил Александрович,1908,1979,1930,3,Русский
Зверев Николай Михайлович,1915,2002,1939,11,Русский
Зверев Сергей Иванович,1901,1974,1921,6,Русский
Зейналов Джафар Зейнал Оглы,1902,1974,1931,9,Азербайджанец
Зеленин Павел Васильевич,1902,1965,1929,2,Русский
Зеленцов Николай Лаврентьевич,1906,1969,1928,9,Русский
Зенин Михаил Федорович,1900,1975,1926,10,Русский
Зеничев Дмитрий Семенович,1897,1973,1920,10,Русский
Зименков Алексей Ильич,1911,1952,1930,6,Русский
Зимин Владимир Александрович,1909,1978,1932,7,Русский
Зимин Григорий Козьмич,1905,1989,1937,2,Русский
Зиновьев Василий Георгиевич,1909,NA,1930,5,Русский
Зиялов Андрей Сиосович (Сионович),1901,1962,1928,8,Армянин
Златин-Зелинский Иосиф Лазаревич,1900,1976,1920,6,Еврей
Змушко Степан Васильевич,1905,NA,1929,3,Белорус
Золоторенко Александр Иванович,1916,1979,1940,6,Белорус
